total=8637 named=933
ObjectClass::GetCellLevel @ 005f5f00
ObjectClass::GetHealthStatus @ 005f5dd0
ObjectClass::IsCrushable @ 005f6cd0
ObjectClass::IsRedHP @ 005f5cd0
OverlayClass::GetTiberiumType @ 005fdd20
OverlayTypeClass::WhatAmI @ 005fe250
PCX::BlitToSurface @ 006ba580
PCX::ForceLoadFile @ 006b9d00
PCX::GetSurface @ 006ba140
ParasiteClass::CanExistOnVictimCell @ 0062ab40
ParasiteClass::CanInfect @ 0062a8e0
ParasiteClass::ExitUnit @ 0062a4a0
ParasiteClass::TryInfect @ 0062a980
ParasiteClass::UpdateGrapple @ 00629720
ParasiteClass::UpdateSquid @ 006297f0
ParticleClass::WhatAmI @ 0062b5e0
ParticleSystemClass::SpawnParticle @ 0062e380
ParticleSystemClass::SpawnParticle @ 0062e430
ParticleSystemTypeClass::WhatAmI @ 006440a0
ParticleTypeClass::WhatAmI @ 00644be0
PassengersClass::AddPassenger @ 004733a0
PassengersClass::GetTotalSize @ 00473460
PassengersClass::IndexOf @ 00473500
PassengersClass::RemoveFirstPassenger @ 00473430
PassengersClass::RemovePassenger @ 004734b0
PassengersClass::Update @ 004cc770
PreviewClass::CreatePalettedPreview @ 00642130
PreviewClass::CreatePreviewSurface @ 006425f0
PreviewClass::DrawMap @ 00640a40
PreviewClass::DrawStartPoints @ 00640710
PreviewClass::GeneratePreviewImage @ 00641140
PreviewClass::ReadPCXPreview @ 00641db0
PreviewClass::ReadPCXPreview @ 00641ee0
PreviewClass::ReadPreviewPack @ 00641b00
PreviewClass::WritePreviewPack @ 006418b0
ProgressScreenClass::GetSide @ 00642b20
ProgressScreenClass::SetSide @ 00642b10
RadSiteClass::Activate @ 0065b580
RadSiteClass::Add @ 0065b530
RadSiteClass::Deactivate @ 0065bb50
RadSiteClass::DecreaseRadiation @ 0065bd00
RadSiteClass::GetRadLevel @ 0065b510
RadSiteClass::Radiate @ 0065b9c0
RadSiteClass::SetBaseCell @ 0065b4c0
RadSiteClass::SetRadLevel @ 0065b4f0
RadSiteClass::SetSpread @ 0065b4d0
RadarClass::GetCrdOnRadar @ 006557f0
RadarClass::RefreshCrd @ 006562d0
RadioClass::ContainsLink @ 0065ad50
RadioClass::FindLinkIndex @ 0065ad90
RadioClass::HasAnyLink @ 0065ae30
RadioClass::HasFreeLink @ 0065adc0
RadioClass::HasFreeLink @ 0065adf0
RadioClass::SetLinkCount @ 0065ae60
Randomizer::Random @ 0065c780
Randomizer::RandomRanged @ 0065c7e0
RawFileClass::CDCheck @ 0065ca70
RawFileClass::CDCheck @ 0065d2b0
RawFileClass::Close @ 0065cca0
RawFileClass::CreateFile @ 0065d150
RawFileClass::DeleteFile @ 0065d190
RawFileClass::Exists @ 0065cbf0
RawFileClass::GetFileName @ 00401940
RawFileClass::GetFileSize @ 0065d0d0
RawFileClass::GetFileTime @ 0065d1f0
RawFileClass::HasHandle @ 0065d420
RawFileClass::Open @ 0065cb50
RawFileClass::OpenEx @ 0065cb30
RawFileClass::ReadBytes @ 0065cce0
RawFileClass::Seek @ 0065cf00
RawFileClass::SetFileName @ 0065cac0
RawFileClass::SetFileTime @ 0065d240
RawFileClass::WriteBytes @ 0065cdd0
RecoilState::Fire @ 0070ece0
RecoilState::Update @ 0070ed10
RocketLocomotionClass::In_Which_Layer @ 00661ec0
RtlUnwind @ 007dce7a
RulesClass::Init @ 006686c0
RulesClass::LoadTypesFromINI @ 00679a10
RulesClass::PointerGotInvalid @ 00678850
RulesClass::Read_AI @ 00672ae0
RulesClass::Read_AdvancedCommandBar @ 00674650
RulesClass::Read_AircraftTypes @ 006723d0
